n,m,p,mode,rep,seed,T_stop,converged,cycle_len,phi_0,phi_f,k_components,winner_flip,winner_item,consensus_frac,delta_FR
200,15,0.2,sync,69,580281718,5,1,0,297302,0,200,1,13,1.0,72.04
50,8,0.7,sync,109,1575363486,4,1,0,17144,0,50,1,1,1.0,18.88
100,8,0.05,async,6,942237447,1203,1,0,5502,168,43,1,0,1.0,20.14
20,5,0.05,async,78,795582272,170,1,0,194,14,15,1,1,0.9,7.6
20,15,0.05,sync,68,825197068,14,0,2,1800,944,1,0,1,0.5,62.4
200,5,0.2,sync,92,492075574,4,1,0,32206,0,200,0,0,1.0,7.67
20,8,0.5,sync,4,1082264675,6,1,0,2192,0,20,1,2,1.0,18.8
100,8,0.1,async,118,651847354,815,1,0,9586,0,100,1,0,1.0,19.96
200,5,0.7,async,46,229538960,894,1,0,111702,0,200,1,3,1.0,7.89
50,12,0.7,sync,66,1812645362,6,1,0,40904,0,50,1,1,1.0,43.88
50,10,0.5,sync,11,1691840110,5,1,0,20136,0,50,1,2,1.0,29.96
100,5,0.7,async,72,223468406,574,1,0,27628,0,100,0,1,1.0,7.54
50,5,0.7,sync,75,1119865220,3,1,0,6762,0,50,0,1,1.0,6.76
150,5,0.7,async,64,1700793477,1135,1,0,62368,0,150,0,1,1.0,7.56
150,15,0.5,async,46,1173107924,955,1,0,410544,0,150,1,14,1.0,70.50666666666666
20,12,0.3,sync,47,1733560593,14,0,2,3024,74,2,0,3,1.0,40.6
50,10,0.7,sync,64,207496077,4,1,0,29344,0,50,1,4,1.0,29.52
200,5,0.5,async,29,212183710,1461,1,0,79570,0,200,0,2,1.0,7.49
200,10,0.05,async,10,1237186922,2397,1,0,32932,0,200,1,0,1.0,32.25
100,10,0.7,sync,67,586870566,4,1,0,114182,0,100,1,3,1.0,31.28
50,12,0.7,sync,101,2133054395,4,1,0,40008,0,50,1,10,1.0,43.72
200,12,0.05,async,107,91725722,2193,1,0,47188,0,200,1,1,1.0,46.25
20,15,0.2,async,49,1938828579,212,1,0,2606,272,4,1,12,1.0,66.6
100,5,0.1,async,10,2125387714,774,1,0,4098,0,100,0,4,1.0,6.96
200,15,0.2,async,5,1215928850,1122,1,0,297166,0,200,0,2,1.0,70.7
20,15,0.3,sync,112,1882638719,17,0,2,4080,252,1,1,14,0.55,67.7
100,15,0.05,async,115,1922628722,1973,1,0,20944,1178,8,1,2,1.0,70.22
50,10,0.1,sync,73,1318010183,17,1,0,4662,0,50,1,1,1.0,29.68
200,8,0.2,async,10,1470238969,1079,1,0,85018,0,200,1,5,1.0,20.55
20,10,0.05,async,105,990614182,93,1,0,688,124,14,1,7,0.35,25.2
150,12,0.1,sync,41,1772496143,9,1,0,53114,0,150,0,2,1.0,45.52
20,12,0.3,async,110,1549636040,173,1,0,2954,0,20,0,10,1.0,42.9
20,10,0.5,async,31,1094072843,87,1,0,3216,0,20,0,8,1.0,28.1
100,5,0.05,sync,117,683780532,12,1,0,1830,0,100,1,0,1.0,7.7
100,10,0.5,async,88,86305115,469,1,0,82684,0,100,0,5,1.0,30.92
150,5,0.2,sync,3,1996252578,5,1,0,17420,0,150,0,3,1.0,7.32
200,10,0.2,sync,106,1272875751,7,1,0,126876,0,200,1,3,1.0,31.31
100,10,0.1,sync,72,1271005322,17,1,0,16410,0,100,0,0,1.0,31.62
50,15,0.5,sync,62,368852559,5,1,0,48054,0,50,1,9,1.0,69.16
50,12,0.5,async,5,1808707270,509,1,0,30612,0,50,1,4,1.0,44.68
150,5,0.3,sync,16,964234239,4,1,0,26404,0,150,1,4,1.0,7.573333333333333
20,15,0.5,sync,95,1213104830,7,0,2,6644,104,1,0,4,1.0,65.3
150,5,0.3,sync,28,195227528,4,1,0,26364,0,150,1,0,1.0,7.426666666666667
150,15,0.3,sync,71,1135822277,5,1,0,250720,0,150,0,13,1.0,70.85333333333334
150,8,0.7,async,4,419731253,1472,1,0,165398,0,150,1,3,1.0,19.89333333333333
150,5,0.1,sync,49,719411898,6,1,0,8670,0,150,1,1,1.0,7.786666666666667
200,8,0.05,async,95,1498427585,2236,1,0,20218,0,200,1,0,1.0,20.21
100,5,0.3,sync,110,491081836,4,1,0,11850,0,100,0,0,1.0,7.32
100,5,0.5,async,65,297658594,477,1,0,20092,0,100,1,4,1.0,7.46
50,10,0.3,async,4,1605604283,251,1,0,12108,0,50,0,9,1.0,28.92
200,8,0.2,sync,8,1524812858,5,1,0,84044,0,200,0,6,1.0,19.85
100,15,0.2,sync,89,290277269,10,1,0,72790,0,100,1,3,1.0,70.32
150,5,0.7,sync,115,971935776,3,1,0,62544,0,150,0,1,1.0,7.666666666666667
150,8,0.2,async,39,1677968433,661,1,0,45666,0,150,0,3,1.0,19.41333333333333
150,15,0.3,async,6,1446094077,875,1,0,248172,0,150,1,9,1.0,70.8
200,5,0.2,async,75,1069010076,1428,1,0,31996,0,200,1,4,1.0,7.69
150,5,0.05,async,35,1899886447,1433,1,0,4392,0,150,1,0,1.0,7.613333333333333
200,5,0.3,async,61,1508259691,1449,1,0,47880,0,200,1,0,1.0,7.67
100,12,0.05,sync,23,1841988138,29,0,2,11898,404,8,1,0,1.0,47.08
50,12,0.05,sync,114,885499218,43,0,2,3368,1018,1,1,0,0.9,47.04
200,15,0.1,sync,118,1404971804,7,1,0,140746,0,200,1,0,1.0,71.24
50,10,0.1,sync,51,1995471456,18,0,2,4368,356,1,1,0,1.0,30.96
200,12,0.3,sync,83,2063105293,5,1,0,282276,0,200,1,2,1.0,45.42
100,8,0.2,async,29,755520301,570,1,0,21252,0,100,1,0,1.0,20.34
100,10,0.1,sync,108,1111468837,8,1,0,16250,0,100,0,7,1.0,30.46
200,15,0.3,sync,104,1390087553,5,1,0,443574,0,200,1,4,1.0,71.61
200,12,0.05,sync,114,618451680,15,0,2,47262,1200,4,0,8,1.0,45.35
200,5,0.05,sync,25,1968634929,15,0,2,7594,886,4,0,2,1.0,7.5
200,10,0.5,sync,54,1923285155,3,1,0,331606,0,200,0,8,1.0,31.39
150,10,0.3,async,57,477822437,775,1,0,109184,0,150,1,7,1.0,31.826666666666668
100,10,0.7,async,4,2136455852,560,1,0,115430,0,100,1,6,1.0,31.64
50,15,0.05,sync,79,1192925711,14,0,2,4124,3038,1,1,6,0.26,47.48
200,8,0.1,async,47,1015791005,1340,1,0,39542,0,200,1,1,1.0,20.34
50,5,0.7,sync,12,2010429146,3,1,0,6778,0,50,0,2,1.0,7.32
150,5,0.1,sync,7,1213782295,5,1,0,9248,0,150,0,2,1.0,7.493333333333333
50,15,0.1,async,14,2040823609,771,1,0,10352,140,16,1,5,1.0,72.8
150,12,0.5,sync,39,448776163,4,1,0,262718,0,150,1,8,1.0,45.16
200,12,0.2,async,107,274556841,1524,1,0,189256,0,200,1,3,1.0,45.56
150,5,0.3,async,25,47262907,830,1,0,26388,0,150,0,3,1.0,7.56
20,10,0.2,sync,66,1027151936,17,0,2,998,542,1,0,0,1.0,33.7
50,15,0.5,async,117,1479652954,259,1,0,45034,0,50,1,0,1.0,68.24
100,5,0.3,sync,63,939679514,4,1,0,11634,0,100,1,0,1.0,7.58
50,10,0.05,async,94,1090829929,658,1,0,2540,258,13,0,1,0.54,30.64
200,15,0.7,sync,98,682857778,6,1,0,1031504,0,200,0,8,1.0,71.41
150,8,0.3,async,96,1325812846,833,1,0,70534,0,150,0,5,1.0,19.546666666666667
50,5,0.2,async,23,464751849,245,1,0,1744,0,50,1,1,1.0,7.28
50,8,0.5,async,103,1975586416,188,1,0,12858,0,50,1,1,1.0,19.52
20,12,0.05,async,45,632606592,155,1,0,872,170,12,1,8,0.45,33.2
200,5,0.1,async,10,1027437482,1302,1,0,15924,0,200,1,0,1.0,7.79
150,10,0.2,sync,7,1121862705,7,1,0,72842,0,150,1,1,1.0,31.04
200,12,0.1,async,107,629351820,1601,1,0,95002,0,200,1,2,1.0,45.82
100,10,0.1,async,63,1505492626,809,1,0,16388,0,100,0,0,1.0,31.22
100,10,0.7,async,71,1771610163,477,1,0,113386,0,100,0,3,1.0,31.12
150,5,0.2,async,62,1385948675,889,1,0,17562,0,150,0,0,1.0,7.613333333333333
200,12,0.05,async,89,1195566345,2476,1,0,45670,0,200,1,2,1.0,46.36
50,15,0.3,sync,98,749145092,8,1,0,27400,0,50,0,9,1.0,68.56
200,12,0.3,sync,90,1248325863,4,1,0,288548,0,200,1,1,1.0,45.39
200,15,0.2,async,86,1369007949,1323,1,0,299334,0,200,0,2,1.0,71.31
20,10,0.05,async,73,1576530017,198,1,0,674,46,16,1,1,0.45,30.7
100,15,0.1,sync,54,1007841138,15,0,2,36998,876,4,1,0,1.0,70.56
200,8,0.5,sync,92,485639848,4,1,0,210410,0,200,1,0,1.0,20.25
20,10,0.2,sync,101,1248222082,14,0,2,2004,78,2,1,1,1.0,29.6
